fp_bucket,down_idx,ytg_bucket,score_diff_bucket,quarter_idx,mean_gain,gain_std,p_turnover,p_penalty_gain,p_penalty_loss,p_pass,count
0,0,0,0,0,1.0004611754611756,2.2997584414213783,0.011261261261261262,0.009116259116259117,0.0,0.30579150579150577,10
0,0,0,0,1,1.058040371198266,1.867818552734818,0.014082503556187767,0.013405134457766036,0.0,0.36498679130258077,140
0,0,0,0,2,1.0529853327210157,1.9625899002567058,0.025002976544826763,0.015625442938218267,0.0,0.2878744068171381,177
0,0,0,0,3,1.0126006780142118,1.9020362742609702,0.006705954074375127,0.01139592868916177,0.0,0.46453005099621647,349
0,0,0,1,0,1.102429946179946,2.182120710146622,0.0038390663390663387,0.01447145197145197,0.0,0.2462925587925588,126
0,0,0,1,1,1.2424161672627931,1.8238176815244915,0.011275078759741335,0.010880293088882045,0.0,0.3599616268327924,276
0,0,0,1,2,1.201173559420982,2.362774221165031,0.01894678183337977,0.0028194615823481798,0.0,0.2801417028221152,144
0,0,0,1,3,1.1232375765957856,1.785932003807959,0.021177894312222674,0.009503640100655027,0.0,0.303535411744367,218
0,0,0,2,0,1.2489015593666757,2.024394690948632,0.01552482715273413,0.008248780341803598,0.0,0.2240639310406752,380
0,0,0,2,1,1.1640856312987462,1.818176122114568,0.009156697681287844,0.002988937415166923,0.0,0.3352321876912041,133
0,0,0,2,2,1.0497243275021053,2.276575432294026,0.03303303303303303,0.006752784530562309,0.0,0.2512035845369179,31
0,0,0,2,3,0.9482049013299012,1.809395767508662,0.017454954954954954,0.005697661947661947,0.0,0.27445302445302444,46
0,0,0,3,0,1.1368897160264066,2.1257096393648554,0.004860976083997667,0.00393507587752192,0.0,0.2902697147301464,89
0,0,0,3,1,1.2053896375088429,1.9964396311711106,0.018793628065151245,0.024989985254885917,0.0,0.36207778260758394,252
0,0,0,3,2,1.1151383526383527,2.103847545960566,0.00837837837837838,0.012734877734877735,0.0,0.22673745173745175,150
0,0,0,3,3,1.3051383526383527,1.9494851038216143,0.013378378378378379,0.007734877734877734,0.0,0.20673745173745173,150
0,0,0,4,0,1.2732303732303734,2.073644135332772,0.012285012285012286,0.009945009945009945,0.0,0.3335907335907336,5
0,0,0,4,1,1.4137510526399413,2.061923450089336,0.010343677010343676,0.02189491078379967,0.0,0.3848610515277182,112
0,0,0,4,2,1.3267722137068871,2.055307287593682,0.008420480782289828,0.0027486208390731,0.0,0.328379348479851,149
0,0,0,4,3,1.0634736222971517,2.0945159116189043,0.012107129754188577,0.011524776230658583,0.0,0.1780429427488251,171
0,0,1,0,0,2.797568208778173,3.794733192202055,0.010750296559905101,0.008896797153024912,0.0,0.3606465005931198,10
0,0,1,0,1,2.7382241771844122,3.1808188438841527,0.010217501823567118,0.003315576578767048,0.0,0.382849627550231,111
