player_id,game_id,season,week,y_true,y_pred,fold_idx
tft_p00,2022_04_00,2022,4,37.454970148528744,55.04352569580078,0
tft_p00,2022_05_00,2022,5,37.75931497258109,67.36609649658203,0
tft_p00,2022_06_00,2022,6,76.35158935594306,80.93858337402344,0
tft_p00,2022_07_00,2022,7,69.26056618302049,65.60797119140625,0
tft_p00,2022_08_00,2022,8,98.46935841861226,57.177886962890625,0
tft_p00,2022_08_00,2022,8,98.46935841861226,57.08905029296875,0
tft_p01,2022_04_01,2022,4,97.3094021758743,53.93313217163086,0
tft_p01,2022_05_01,2022,5,60.27249036665145,57.05238723754883,0
tft_p01,2022_06_01,2022,6,62.51792127839607,73.63341522216797,0
tft_p01,2022_07_01,2022,7,73.56382859856464,53.73197937011719,0
tft_p01,2022_08_01,2022,8,40.05691149516502,52.46632766723633,0
tft_p01,2022_08_01,2022,8,40.05691149516502,52.67072677612305,0
tft_p02,2022_04_02,2022,4,66.60119575545842,51.52797317504883,0
tft_p02,2022_05_02,2022,5,53.55576874150912,58.973365783691406,0
tft_p02,2022_06_02,2022,6,59.19869746123431,83.37921905517578,0
tft_p02,2022_07_02,2022,7,106.43726436369255,64.68038177490234,0
tft_p02,2022_08_02,2022,8,75.8754348615901,57.457279205322266,0
tft_p02,2022_08_02,2022,8,75.8754348615901,57.40699768066406,0
tft_p00,2022_03_00,2022,3,74.22737584487932,58.025390625,0
tft_p01,2022_03_01,2022,3,71.7530751527381,49.99085998535156,0
tft_p02,2022_03_02,2022,3,51.258191811656644,64.86251068115234,0
